epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46374,2.95431,14.8052,1.76672,0.00015,0.16,0.00012,5e-05,1.46981,64.0659,1.00477,0.00032,0.00032,0.00032
2,6.82032,1.63145,8.23177,1.28339,0.00034,0.36,0.00032,0.0002,0.67219,63.4309,0.57794,0.00062733,0.00062733,0.00062733
3,9.20182,1.19978,6.69739,1.01221,0.00067,0.70667,0.02628,0.0216,0.51964,62.9794,0.44505,0.000901,0.000901,0.000901
4,11.6764,1.19724,4.99477,0.97489,0.00088,0.93333,0.5582,0.42954,0.45871,62.5425,0.42631,0.00114101,0.00114101,0.00114101
5,14.095,1.1062,4.50859,0.95213,0.97492,0.51826,0.81203,0.62215,0.42225,56.0557,0.4035,0.00134736,0.00134736,0.00134736
6,16.4755,1.11606,3.83542,0.93304,0.93961,0.82989,0.903,0.61438,0.51545,48.0288,0.42268,0.001505,0.001505,0.001505
7,18.7992,1.0988,3.7656,0.9307,0.94243,0.86667,0.9394,0.72551,0.39278,34.3447,0.39031,0.001406,0.001406,0.001406
8,21.1282,1.05236,3.43864,0.90463,0.92781,0.85692,0.94233,0.71052,0.4122,18.3779,0.38454,0.001307,0.001307,0.001307
9,23.5444,0.97623,3.18075,0.90862,0.9045,0.93333,0.96241,0.73269,0.37428,12.264,0.3733,0.001208,0.001208,0.001208
10,25.8837,0.91009,2.47273,0.90167,0.90579,0.92,0.96641,0.77706,0.33701,10.425,0.3689,0.001109,0.001109,0.001109
11,28.6565,0.76438,4.93352,0.80931,0.89272,0.92,0.94592,0.7612,0.35219,9.9786,0.37227,0.00101,0.00101,0.00101
12,31.0625,0.87061,3.54201,0.90075,0.87562,0.93866,0.95787,0.77037,0.33754,9.63088,0.37294,0.000911,0.000911,0.000911
13,33.2714,0.78247,3.48068,0.8639,0.92641,0.93333,0.97175,0.78112,0.34036,9.4392,0.37142,0.000812,0.000812,0.000812
14,35.454,0.81914,3.12078,0.84739,0.89389,0.96,0.95673,0.784,0.3399,9.93169,0.37121,0.000713,0.000713,0.000713
15,37.6369,0.74326,2.45503,0.84765,0.95504,0.92,0.96641,0.79474,0.33899,9.80379,0.36861,0.000614,0.000614,0.000614
16,39.8364,0.78349,2.95765,0.87195,0.98567,0.91712,0.97313,0.82236,0.29893,9.42606,0.35977,0.000515,0.000515,0.000515
17,41.9921,0.72916,3.64444,0.83425,0.96959,0.93333,0.97445,0.83094,0.29702,9.25158,0.36022,0.000416,0.000416,0.000416
18,44.1672,0.67433,3.97042,0.82465,0.98605,0.94271,0.97721,0.8191,0.3145,9.16387,0.36443,0.000317,0.000317,0.000317
19,46.3396,0.66116,3.40665,0.79894,0.96813,0.96,0.98046,0.82341,0.31065,9.16339,0.36504,0.000218,0.000218,0.000218
20,48.5422,0.77287,2.77277,0.85192,0.97238,0.97333,0.98153,0.82958,0.29659,9.1414,0.36287,0.000119,0.000119,0.000119
